R	8.594856e+00	9.327329e-01	5.140136e+00	5.104279e-01	8.458583e+00	1.411179e+00	8.604722e+00	1.060109e+00	5.065366e+00	8.652261e-01	6.619637e+00	7.669265e-02	7.963666e-02	1.219725e-01	3.789522e-01	-2.458477e-01	1.047664e+00	5.000000e-02
L	8.834443e+00	9.867610e-01	5.109582e+00	5.923002e-01	8.746145e+00	1.048576e+00	8.857753e+00	1.104732e+00	5.052156e+00	9.190366e-01	6.605841e-01	7.563063e-02	8.106509e-02	1.205255e-01	3.774761e-01	-2.641964e-01	1.076211e+00	5.000000e-02
R	9.124549e+00	1.024278e+00	5.167061e+00	6.306612e-01	9.880899e+00	1.141897e+00	9.110101e+00	1.152082e+00	5.037982e+00	9.742446e-01	6.850315e+00	7.455130e-02	8.281709e-02	1.207857e-01	3.765228e-01	-2.834797e-01	1.104159e+00	5.000000e-02
L	9.363619e+00	1.056063e+00	5.137663e+00	6.527559e-01	9.255788e+00	1.049129e+00	9.361717e+00	1.202229e+00	5.022799e+00	1.030819e+00	6.098294e-01	7.347927e-02	8.528261e-02	1.206206e-01	3.765669e-01	-3.036594e-01	1.131489e+00	5.000000e-02
R	9.643754e+00	1.123713e+00	5.181265e+00	7.507390e-01	1.010157e+01	1.524740e+00	9.612549e+00	1.255239e+00	5.006562e+00	1.088727e+00	4.521357e+00	7.263796e-02	8.690010e-02	1.224459e-01	3.755487e-01	-3.247356e-01	1.158159e+00	5.000000e-02
L	9.920084e+00	1.242145e+00	5.185583e+00	9.465199e-01	1.004839e+01	1.445978e+00	9.862544e+00	1.311179e+00	4.989224e+00	1.147935e+00	3.405980e+00	7.227140e-02	8.646577e-02	1.250194e-01	3.719160e-01	-3.467655e-01	1.184161e+00	5.000000e-02
R	1.016917e+01	1.322075e+00	5.085832e+00	1.035914e+00	1.053773e+01	1.725549e+00	1.011165e+01	1.370112e+00	4.970739e+00	1.208405e+00	5.133620e+00	7.192188e-02	8.567560e-02	1.247683e-01	3.680549e-01	-3.697014e-01	1.209400e+00	5.000000e-02
L	1.039547e+01	1.401895e+00	5.032757e+00	1.126177e+00	1.024922e+01	1.459068e+00	1.035979e+01	1.432101e+00	4.951060e+00	1.270101e+00	1.344051e+00	7.122329e-02	8.470826e-02	1.238511e-01	3.640359e-01	-3.935814e-01	1.233919e+00	5.000000e-02
R	1.062802e+01	1.475407e+00	4.904111e+00	1.182067e+00	1.090844e+01	1.703425e+00	1.060693e+01	1.497206e+00	4.930142e+00	1.332982e+00	4.228241e+00	7.040636e-02	8.371369e-02	1.223625e-01	3.602477e-01	-4.183578e-01	1.257620e+00	5.000000e-02
L	1.085287e+01	1.514499e+00	4.870685e+00	1.181422e+00	1.073126e+01	1.452653e+00	1.085299e+01	1.565486e+00	4.907936e+00	1.397008e+00	9.925120e-01	6.954245e-02	8.306902e-02	1.210010e-01	3.574167e-01	-4.441166e-01	1.280520e+00	5.000000e-02
